subject,age,gender,edu,english,encoding_instruction_condition,encoding_task_condition,recall_instruction_condition,aware,list,output 1,output 2,output 3,output 4,output 5,output 6,output 7,output 8,output 9,output 10,output 11,output 12,output 13,output 14,output 15,output 16,output 17,output 18,output 19,output 20,output 21,output 22,output 23,output 24,output 25
69,,,,,Incidental,Animacy,Free,yes,0,12,16,5,11,14,2,,,,,,,,,,,,,,,,,,,
70,,,,,Incidental,Animacy,Free,no,0,16,12,3,13,8,,,,,,,,,,,,,,,,,,,,
70,,,,,Incidental,Animacy,Free,no,1,1,3,4,6,13,,,,,,,,,,,,,,,,,,,,
71,,,,,Incidental,Animacy,Free,no,0,11,-999,7,,,,,,,,,,,,,,,,,,,,,,
71,,,,,Incidental,Animacy,Free,no,1,1,8,10,3,15,,,,,,,,,,,,,,,,,,,,
72,,,,,Incidental,Animacy,Free,no,0,11,12,2,3,,,,,,,,,,,,,,,,,,,,,
72,,,,,Incidental,Animacy,Free,no,1,15,5,14,13,8,3,,,,,,,,,,,,,,,,,,,
73,,,,,Incidental,Animacy,Free,yes,0,15,14,2,10,1,5,13,12,,,,,,,,,,,,,,,,,
73,,,,,Incidental,Animacy,Free,yes,1,13,9,1,2,15,5,11,4,,,,,,,,,,,,,,,,,
74,,,,,Incidental,Animacy,Free,no,0,6,15,4,3,11,7,8,13,,,,,,,,,,,,,,,,,
74,,,,,Incidental,Animacy,Free,no,1,4,11,2,13,7,9,11,3,5,,,,,,,,,,,,,,,,
75,,,,,Incidental,Animacy,Free,no,0,14,-999,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,Incidental,Animacy,Free,no,1,4,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,Incidental,Animacy,Free,no,0,5,14,16,1,8,,,,,,,,,,,,,,,,,,,,
76,,,,,Incidental,Animacy,Free,no,1,2,5,1,14,,,,,,,,,,,,,,,,,,,,,
77,,,,,Incidental,Animacy,Free,no,0,2,13,7,3,,,,,,,,,,,,,,,,,,,,,
77,,,,,Incidental,Animacy,Free,no,1,6,4,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,Incidental,Animacy,Free,no,0,16,14,15,,,,,,,,,,,,,,,,,,,,,,
78,,,,,Incidental,Animacy,Free,no,1,4,-999,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,Incidental,Animacy,Free,no,0,7,6,3,5,15,4,8,10,16,11,1,,,,,,,,,,,,,,
79,,,,,Incidental,Animacy,Free,no,1,4,2,3,11,1,10,15,,,,,,,,,,,,,,,,,,
80,,,,,Incidental,Animacy,Free,no,0,-999,6,16,8,11,13,12,,,,,,,,,,,,,,,,,,
80,,,,,Incidental,Animacy,Free,no,1,14,1,7,9,12,,,,,,,,,,,,,,,,,,,,
81,,,,,Incidental,Animacy,Free,no,0,3,4,16,11,10,,,,,,,,,,,,,,,,,,,,
81,,,,,Incidental,Animacy,Free,no,1,3,14,11,16,4,,,,,,,,,,,,,,,,,,,,
82,,,,,Incidental,Animacy,Free,no,0,16,1,13,8,15,14,5,,,,,,,,,,,,,,,,,,
82,,,,,Incidental,Animacy,Free,no,1,9,13,14,15,,,,,,,,,,,,,,,,,,,,,
83,,,,,Incidental,Animacy,Free,no,0,4,6,14,7,10,8,15,9,12,,,,,,,,,,,,,,,,
83,,,,,Incidental,Animacy,Free,no,1,2,8,7,9,1,16,12,,,,,,,,,,,,,,,,,,
84,,,,,Incidental,Animacy,Free,no,0,11,4,15,,,,,,,,,,,,,,,,,,,,,,
84,,,,,Incidental,Animacy,Free,no,1,-1,15,13,,,,,,,,,,,,,,,,,,,,,,
85,,,,,Incidental,Animacy,Free,no,0,10,16,14,2,,,,,,,,,,,,,,,,,,,,,
85,,,,,Incidental,Animacy,Free,no,1,1,2,3,4,10,16,13,14,15,,,,,,,,,,,,,,,,
86,,,,,Incidental,Animacy,Free,no,0,14,5,13,4,13,-999,5,,,,,,,,,,,,,,,,,,
86,,,,,Incidental,Animacy,Free,no,1,3,4,9,10,1,-999,7,-1,,,,,,,,,,,,,,,,,
87,,,,,Incidental,Animacy,Free,no,0,4,14,10,15,12,-999,6,,,,,,,,,,,,,,,,,,
87,,,,,Incidental,Animacy,Free,no,1,14,10,1,5,10,8,15,3,,,,,,,,,,,,,,,,,
88,,,,,Incidental,Animacy,Free,no,0,2,16,4,1,13,14,,,,,,,,,,,,,,,,,,,
88,,,,,Incidental,Animacy,Free,no,1,9,8,3,1,10,2,11,,,,,,,,,,,,,,,,,,
89,,,,,Incidental,Animacy,Free,no,0,8,7,13,15,14,13,,,,,,,,,,,,,,,,,,,
89,,,,,Incidental,Animacy,Free,no,1,10,8,9,7,13,,,,,,,,,,,,,,,,,,,,
90,,,,,Incidental,Animacy,Free,yes,0,6,15,2,9,4,11,5,14,,,,,,,,,,,,,,,,,
90,,,,,Incidental,Animacy,Free,yes,1,1,12,5,8,9,12,14,,,,,,,,,,,,,,,,,,
91,,,,,Incidental,Animacy,Free,no,0,-2999,12,3,7,14,16,,,,,,,,,,,,,,,,,,,
91,,,,,Incidental,Animacy,Free,no,1,16,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,Incidental,Animacy,Free,yes,0,3,13,15,11,-999,7,-999,16,,,,,,,,,,,,,,,,,
92,,,,,Incidental,Animacy,Free,yes,1,12,-999,-999,-999,-999,-1,,,,,,,,,,,,,,,,,,,
93,,,,,Incidental,Animacy,Free,no,0,15,16,7,3,14,9,4,,,,,,,,,,,,,,,,,,
93,,,,,Incidental,Animacy,Free,no,1,15,1,4,-1,,,,,,,,,,,,,,,,,,,,,
94,,,,,Incidental,Animacy,Free,no,0,10,6,15,11,7,9,5,8,,,,,,,,,,,,,,,,,
94,,,,,Incidental,Animacy,Free,no,1,9,14,13,11,10,15,4,1,,,,,,,,,,,,,,,,,
95,,,,,Incidental,Animacy,Free,no,0,4,10,9,16,3,7,8,-999,,,,,,,,,,,,,,,,,
95,,,,,Incidental,Animacy,Free,no,1,3,11,6,16,5,-1,-999,,,,,,,,,,,,,,,,,,
96,,,,,Incidental,Animacy,Free,no,0,4,14,12,3,6,-999,5,,,,,,,,,,,,,,,,,,
96,,,,,Incidental,Animacy,Free,no,1,1,6,7,5,3,12,9,3,15,,,,,,,,,,,,,,,,
97,,,,,Incidental,Animacy,Free,no,0,12,4,14,13,,,,,,,,,,,,,,,,,,,,,
97,,,,,Incidental,Animacy,Free,no,1,9,-1,16,7,1,12,4,,,,,,,,,,,,,,,,,,
98,,,,,Incidental,Animacy,Free,no,0,14,11,-999,12,15,4,15,13,3,10,,,,,,,,,,,,,,,
98,,,,,Incidental,Animacy,Free,no,1,1,6,5,8,,,,,,,,,,,,,,,,,,,,,
99,,,,,Incidental,Animacy,Free,no,0,1,16,12,13,8,14,,,,,,,,,,,,,,,,,,,
99,,,,,Incidental,Animacy,Free,no,1,15,7,16,3,13,14,,,,,,,,,,,,,,,,,,,
100,,,,,Incidental,Animacy,Free,yes,0,14,13,4,1,8,11,7,-999,-999,,,,,,,,,,,,,,,,
100,,,,,Incidental,Animacy,Free,yes,1,1,6,-999,10,12,,,,,,,,,,,,,,,,,,,,
101,,,,,Incidental,Animacy,Free,no,0,4,16,8,15,7,12,9,,,,,,,,,,,,,,,,,,
101,,,,,Incidental,Animacy,Free,no,1,3,12,10,14,,,,,,,,,,,,,,,,,,,,,
102,,,,,Incidental,Animacy,Free,no,0,14,13,15,16,7,5,6,4,,,,,,,,,,,,,,,,,
102,,,,,Incidental,Animacy,Free,no,1,13,4,1,2,,,,,,,,,,,,,,,,,,,,,
103,,,,,Incidental,Animacy,Free,no,0,15,8,11,1,10,16,8,,,,,,,,,,,,,,,,,,
103,,,,,Incidental,Animacy,Free,no,1,1,14,9,7,12,,,,,,,,,,,,,,,,,,,,
104,,,,,Incidental,Animacy,Free,no,0,-2999,7,3,10,11,9,,,,,,,,,,,,,,,,,,,
104,,,,,Incidental,Animacy,Free,no,1,11,7,14,12,2,-1,,,,,,,,,,,,,,,,,,,
105,,,,,Incidental,Animacy,Free,no,0,9,12,13,7,6,2,,,,,,,,,,,,,,,,,,,
105,,,,,Incidental,Animacy,Free,no,1,1,4,3,12,16,15,6,,,,,,,,,,,,,,,,,,
106,,,,,Incidental,Animacy,Free,no,0,-2999,15,-999,,,,,,,,,,,,,,,,,,,,,,
106,,,,,Incidental,Animacy,Free,no,1,1,2,15,14,16,5,6,,,,,,,,,,,,,,,,,,
107,,,,,Incidental,Animacy,Free,no,0,14,12,4,6,2,15,7,11,,,,,,,,,,,,,,,,,
107,,,,,Incidental,Animacy,Free,no,1,8,12,4,1,9,13,10,,,,,,,,,,,,,,,,,,
108,,,,,Incidental,Animacy,Free,no,0,14,16,3,10,7,,,,,,,,,,,,,,,,,,,,
108,,,,,Incidental,Animacy,Free,no,1,1,6,-1,11,-999,-1,3,,,,,,,,,,,,,,,,,,
109,,,,,Incidental,Animacy,Free,no,0,1,14,13,11,,,,,,,,,,,,,,,,,,,,,
109,,,,,Incidental,Animacy,Free,no,1,13,12,11,-1,15,8,,,,,,,,,,,,,,,,,,,
